relation,entity1,entity1_begin,entity1_end,chunk1,entity2,entity2_begin,entity2_end,chunk2,confidence
TrAP,Gender,123,124,He,Strength,285,291,1000 mg,0.83489573
TrAP,Gender,123,124,He,Frequency,293,307,two times a day,0.6076327
